,Tenor,OIS Product,OIS Rate,OIS Forward Rate,OIS Discount Factor,LIBOR Product,LIBOR Rate,LIBOR Forward Rate,LIBOR Discount Factor
44,22.5,OIS,0.0053125,0.005921054256097236,0.8869086317150822,IRS,0.04625,0.05097099245408569,0.36207879518708447
45,23.0,OIS,0.005325,0.005938583595437308,0.8842751706498265,IRS,0.0465,0.05230398547866142,0.3528510374184518
46,23.5,OIS,0.0053375,0.005956322378679602,0.8816417095845709,IRS,0.04675,0.053708571654613006,0.3436232796498191
47,24.0,OIS,0.00535,0.005974061161921895,0.8790082485193152,IRS,0.047,0.055190677893774916,0.33439552188118643
48,24.5,OIS,0.0053625,0.005992013165405652,0.8763747874540597,IRS,0.04725,0.05675690389431444,0.32516776411255377
49,25.0,OIS,0.005375,0.0060099651688894085,0.8737413263888041,IRS,0.0475,0.05841462039212411,0.31594000634392105
50,25.5,OIS,0.0053875,0.006028134260160911,0.8711078653235484,IRS,0.04775,0.06017208514819082,0.3067122485752884
51,26.0,OIS,0.0054,0.006046303351432414,0.8684744042582928,IRS,0.048,0.062038580523043556,0.29748449080665573
52,26.5,OIS,0.0054125,0.006064693492282558,0.8658409431930372,IRS,0.04825,0.06402457747563145,0.28825673303802307
53,27.0,OIS,0.005425,0.006083083633132702,0.8632074821277815,IRS,0.0485,0.0661419321038158,0.2790289752693904
54,27.5,OIS,0.0054375,0.006101698882234885,0.8605740210625259,IRS,0.04875,0.06840412251739969,0.2698012175007577
55,28.0,OIS,0.00545,0.006120314131337068,0.8579405599972703,IRS,0.049,0.07082653604184393,0.26057345973212503
56,28.5,OIS,0.0054624999999999995,0.006139158647404663,0.8553070989320146,IRS,0.04925,0.07342681968735618,0.2513457019634924
57,29.0,OIS,0.005475,0.006158003163472259,0.8526736378667591,IRS,0.0495,0.07622531076181671,0.24211794419485969
58,29.5,OIS,0.005487499999999999,0.006177081208296187,0.8500401768015035,IRS,0.04975,0.07924556985621015,0.232890186426227
59,30.0,OIS,0.0055,0.006196159253120115,0.8474067157362478,IRS,0.05,0.08251504576800844,0.22366242865759434
